after_level,level_name,clear_purse,bounties,purchases,repair_reserve,remaining_crowns,choices
0,Opening council,0,0,360,0,0,"Tavern I; Recruit Elin; Ballista I"
1,The First Watch,140,24,0,0,164,""
2,Shields on the Causeway,160,24,110,0,238,"Sanctuary I"
3,The Far Bank,180,29,310,25,112,"Recruit Iona; Stormbow II"
4,Sparks at the Gate,210,38,260,25,75,"Stonehold II"
5,The Procession Golem,300,22,240,30,127,"Forge I; Storm Spire I"
6,Hexfall,220,42,300,30,59,"Aldren II; Elin II; Quickdraw"
7,Banners in the Rain,240,47,270,30,46,"War Room I; Ballista II"
8,The Iron Road,260,56,100,30,232,"Iona II"
9,Hunters at Dusk,280,57,460,30,79,"Crownspire III"
10,Emberwing,400,28,450,35,22,"Stormbow III; Sanctuary II"
11,Broken Standards,300,66,250,35,103,"Sanctuary III"
12,The Quiet Knives,320,64,360,35,92,"Aldren III; Elin III"
13,The Siege Train,340,76,320,35,153,"Storm Spire II; War Room II"
14,The Last Bell,420,98,570,45,56,"Iona III; Aegis I; Sundering; Cinder Mortar I"
